submission_number,decision_date,band,url_tried,http_status,pages,chars_total,chars_per_page,classification,predicate_sentence_found,predicate_knumbers,cybersecurity_heading,pccp_heading,notes
K141922,2015-02-27,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf14/K141922.pdf,200,7,11603,"[2040,1395,1504,801,2273,2418,1172]",text,yes,K113696;K122938,no,no,
K160338,2016-08-05,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K160338.pdf,200,8,11751,"[2165,1211,2128,843,1352,956,2177,919]",text,yes,K130190;K142801,no,no,
K162855,2017-02-23,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K162855.pdf,200,7,11899,"[2237,1174,1769,939,2448,2047,1285]",text,yes,K160809,no,no,
K171122,2018-01-11,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K171122.pdf,200,8,13376,"[1633,1738,1520,1319,2422,1352,1631,1761]",text,yes,K152086,no,no,
K172356,2017-09-15,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K172356.pdf,200,11,15666,"[2114,1287,1252,1059,1071,842,1216,1437,1458,2047,1883]",text,yes,K153101,no,no,
K172385,2017-09-14,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K172385.pdf,200,15,22586,"[2029,1358,2014,1049,265,1064,1070,1061,914,1438,973,2702,1983,1918,2748]",text,yes,K133454;K163138,no,no,
K173588,2018-01-12,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K173588.pdf,200,13,19813,"[2154,1150,1626,917,1126,2029,2067,2222,1037,893,604,1899,2089]",text,yes,K160315;K162025;K162955,no,no,
K180161,2018-04-20,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180161.pdf,200,8,13486,"[2233,1051,1961,1312,2211,2044,1548,1126]",text,yes,K121447,no,no,
K180163,2018-05-25,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180163.pdf,200,12,21459,"[2204,1166,1736,1588,431,1737,2431,2763,2095,2337,2742,229]",text,yes,K171120;K170713;K172643;K172543,no,no,
K181892,2018-10-09,2015-2018,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K181892.pdf,200,6,10940,"[2144,1596,2125,1479,1687,1909]",text,yes,K151212;K130552;K130542;K112051;K141745;K082427;K140587;K063559,no,no,
K182875,2019-07-10,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182875.pdf,200,10,15787,"[2344,1724,2208,93,1168,1999,2282,1455,1718,796]",mixed,yes,K180647,no,no,cover letter/IFU text + some scanned pages
K183322,2019-07-10,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183322.pdf,200,8,16500,"[2150,1936,2029,1089,3659,2572,1447,1618]",text,yes,K180234;K152139,no,no,
K190013,2019-11-04,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190013.pdf,200,12,23529,"[2127,1860,2041,2216,1804,2655,2266,2856,1911,1869,1576,348]",text,yes,K162532;K150910;K141273;K162225;K150214;K162352,yes,no,
K191278,2019-11-19,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191278.pdf,200,8,12145,"[2456,1660,602,1044,1680,1330,1487,1886]",text,yes,K173744,no,no,
K193631,2020-10-09,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193631.pdf,200,14,23383,"[2147,1923,1679,1177,1811,1006,2169,1880,1852,2707,1549,1027,1733,723]",text,yes,K172296;K083903;K150272,no,no,
K202927,2021-10-02,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202927.pdf,200,11,15918,"[2150,1944,0,946,1958,1725,1004,1373,1326,1775,1717]",mixed,yes,K152915;K151504,yes,no,cover letter/IFU text + some scanned pages
K203469,2021-04-19,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K203469.pdf,200,6,9365,"[2257,1814,0,1674,2254,1366]",mixed,yes,K141248,no,no,cover letter/IFU text + some scanned pages
K203508,2020-12-29,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K203508.pdf,200,33,67042,"[2343,1740,2235,2222,2309,2200,2371,2193,2050,2819,2184,414,1999,2590,2288,640,2049,2821,2376,552,2352,2745,2307,523,2406,2738,2211,2013,245,2359,2685,2056,2007]",text,yes,K190896;K180647;K200921;K190072;K193298;K201020;K192383,no,no,
